,Season,Team Name,Conference,Adjusted Temo,Adjusted Offensive Efficiency,Adjusted Defensive Efficiency,Avg Possession Length (Offense),Avg Possession Length (Defense),eFGPct,TOPct,ORPct,OffFT,DefFT,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,FG2Pct,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,DFP,AvgHeight,CenterHeight,PFHeight,SFHeight,SGHeight,PGHeight,EffectiveHeight,Experience,Bench,CenterOR,PFOR,SFOR,SGOR,PGOR,CenterDR,PFDR,SFDR,SGDR,PGDR,Net Rating
3939,2006,Monmouth,Coastal Athletic Association (CAA),64.6,95.8,96.4,20.4,18.1,0.501681,0.22040400000000002,0.26899,18.2565,18.6543,65.8127,64.6015,95.7399,95.7708,93.9816,96.4482,-0.677353,0.499562,0.336957,0.670017,0.100164,0.43514,0.321727,0.702797,0.084137,10.9546241294689,76.89,-1.25,-0.07,1.01,1.78,0.68,-1.33,1.8,26.36,27.13,31.31,20.66,15.22,5.68,25.78,26.64,19.36,15.66,12.55,-0.6000000000000085
3940,2006,North Dakota State,Summit League (The Summit),65.0,103.8,104.4,20.4,18.1,0.51432,0.246248,0.395272,22.9899,21.3538,66.4432,64.9686,105.159,103.789,101.686,104.436,-0.647828,0.48027099999999995,0.397297,0.7380500000000001,0.085085,0.46246200000000004,0.33908,0.706721,0.107103,10.9546241294689,76.89,-1.25,-0.07,1.01,1.78,0.68,-1.33,1.8,26.36,27.13,31.31,20.66,15.22,5.68,25.78,26.64,19.36,15.66,12.55,-0.6000000000000085
3941,2016,Western Kentucky,Conference USA (CUSA),67.0,108.6,109.2,18.6,16.3,0.5248769999999999,0.190213,0.3357731,20.9877,15.8821,68.4534,67.0473,108.973,108.591,109.417,109.249,-0.657645,0.515397,0.36302500000000004,0.7034480000000001,0.093133,0.504341,0.372662,0.659864,0.07617499999999999,10.9546241294689,76.79,1.2,-0.12,-0.41,-0.2,-0.39,1.08,1.77,31.93,33.7,32.71,13.9,12.57,7.13,22.71,23.14,23.8,15.07,15.28,-0.6000000000000085
3943,2021,Wake Forest,Atlantic Coast Conference (ACC),67.0,101.3,101.9,18.9,16.7,0.48975234842015397,0.20014975994362,0.26158038147139,17.3631123919308,17.1597633136095,67.1677,66.9712,97.3143,101.297,107.736,101.934,-0.636666,0.45886075949367094,0.350649350649351,0.721556886227545,0.0640326975476839,0.52724795640327,0.382978723404255,0.703504043126685,0.162974683544304,10.9546241294689,77.51,-0.25,0.93,0.16,0.69,1.44,0.34,1.7,38.13,43.15,34.17,12.75,8.15,1.7,23.85,23.06,21.85,20.41,10.77,-0.6000000000000085
3944,2024,Stony Brook,Coastal Athletic Association (CAA),67.6,106.3,106.9,17.9,17.7,0.5032051282051281,0.151302257245893,0.26594863297431603,17.767929089444,15.9613059250302,67.4224,67.5691,106.149,106.315,105.89,106.942,-0.626426,0.486338797814208,0.35475234270415,0.7436762225969651,0.0897755610972569,0.483790523690773,0.347678369195923,0.692307692307692,0.0640124902419984,10.9546241294689,76.8,1.84,-0.92,-1.62,-0.88,-0.1,0.46,2.67749,29.94,40.68,33.86,9.3,10.16,5.97,21.8,32.47,14.27,14.59,16.86,-0.6000000000000085
3945,2018,Richmond,Atlantic 10 Conference (A-10),67.9,107.4,108.1,17.3,18.1,0.521311475409836,0.16880692425185298,0.234141791044776,16.9351327818894,17.2870140612076,68.3024,67.9399,104.019,107.363,109.309,108.139,-0.776044,0.532590051457976,0.33433734939758997,0.715073529411765,0.0658119658119658,0.5521367521367521,0.371653543307087,0.7385159010600709,0.088336192109777,6.98477840362821,75.19,0.27,-2.03,-0.97,-2.09,-3.26,-0.88,0.91,22.21,29.81,30.29,17.18,14.45,8.2,27.6,27.27,22.07,14.04,8.97,-0.6999999999999886
3946,2022,UNC Greensboro,Southern Conference (SoCon),62.2,100.5,101.2,20.0,17.8,0.497915425848719,0.200875351025881,0.324055666003976,16.5252121817274,17.8889990089197,62.9771,62.2319,101.345,100.532,102.309,101.188,-0.656607,0.486220472440945,0.34389140271493196,0.7180043383947939,0.0596658711217184,0.485680190930788,0.34863523573201,0.7664543524416141,0.0797244094488189,6.98477840362821,76.09,0.42,-1.41,-0.93,-1.99,-0.43,-0.49,2.5,34.53,44.49,23.67,18.86,7.45,5.49,25.74,23.34,24.84,12.97,13.09,-0.7000000000000028
3947,2021,James Madison,Sun Belt Conference (SBC),71.8,103.5,104.2,16.1,17.3,0.50503524672709,0.166863601335731,0.278740157480315,21.3333333333333,20.1144726083401,71.5625,71.8046,104.905,103.476,100.456,104.166,-0.689613,0.508591065292096,0.333333333333333,0.6699507389162559,0.060037523452157605,0.5028142589118201,0.325942350332594,0.7477203647416409,0.0962199312714777,6.98477840362821,76.24,-1.18,-0.32,0.44,-1.64,-0.69,-0.75,1.33,35.27,33.75,35.56,16.27,9.48,4.83,22.44,23.03,23.14,17.55,13.73,-0.7000000000000028
3948,2010,TCU,Big 12 Conference,63.1,105.2,105.9,19.2,17.7,0.5158229999999999,0.212353,0.280124,18.7438,21.2816,65.252,63.0728,100.95,105.152,107.263,105.875,-0.722499,0.500532,0.35881399999999997,0.710775,0.051773999999999994,0.537872,0.342491,0.685241,0.09904199999999999,6.98477840362821,76.65,0.47,0.3,-0.3,0.1,-0.19,0.77,1.65,31.97,32.31,16.6,33.68,8.33,9.08,36.26,19.26,15.46,14.65,14.37,-0.7000000000000028
3949,2010,Troy,Sun Belt Conference (SBC),66.0,105.1,105.8,16.8,18.5,0.522923,0.179747,0.307399,14.7993,16.7283,67.4525,65.9522,105.522,105.125,106.273,105.818,-0.693067,0.516464,0.35702199999999995,0.637827,0.08871000000000001,0.48207900000000004,0.366112,0.680451,0.06672399999999999,6.98477840362821,76.42,-0.76,-0.05,-0.31,0.1,1.43,-0.81,2.76,23.52,41.24,26.42,14.8,9.59,7.95,35.01,20.51,19.18,12.13,13.17,-0.7000000000000028
3952,2013,Southern Illinois,Missouri Valley Conference (MVC),61.6,102.7,103.4,19.9,18.0,0.47977200000000003,0.19412600000000002,0.316633,18.5622,22.5856,62.9217,61.6078,98.4424,102.707,104.003,103.439,-0.731888,0.481034,0.317536,0.641929,0.06911400000000001,0.518359,0.369261,0.728171,0.068103,6.98477840362821,74.4,-2.82,-3.14,-2.05,-0.99,-2.66,-5.96,1.96,28.95,29.08,19.25,13.44,25.46,12.78,20.53,19.32,17.66,26.2,16.28,-0.7000000000000028
